column	nan_values
AGER_TYP	['-1']
ALTERSKATEGORIE_GROB	['-1','0']
ANREDE_KZ	['-1','0']
BALLRAUM	['-1']
CAMEO_DEUG_2015	['-1','X']
EWDICHTE	['-1']
FINANZTYP	['-1']
FINANZ_ANLEGER	['-1']
FINANZ_HAUSBAUER	['-1']
FINANZ_MINIMALIST	['-1']
FINANZ_SPARER	['-1']
FINANZ_UNAUFFAELLIGER	['-1']
FINANZ_VORSORGER	['-1']
GEBAEUDETYP	['-1','0']
HEALTH_TYP	['-1']
HH_EINKOMMEN_SCORE	['-1','0']
INNENSTADT	['-1']
KBA05_ALTER1	['-1','9']
KBA05_ALTER2	['-1','9']
KBA05_ALTER3	['-1','9']
KBA05_ALTER4	['-1','9']
KBA05_ANHANG	['-1','9']
KBA05_ANTG1	['-1']
KBA05_ANTG2	['-1']
KBA05_ANTG3	['-1']
KBA05_ANTG4	['-1']
KBA05_BAUMAX	['-1','0']
KBA05_CCM1	['-1','9']
KBA05_CCM2	['-1','9']
KBA05_CCM3	['-1','9']
KBA05_CCM4	['-1','9']
KBA05_DIESEL	['-1','9']
KBA05_FRAU	['-1','9']
KBA05_GBZ	['-1','0']
KBA05_HERST1	['-1','9']
KBA05_HERST2	['-1','9']
KBA05_HERST3	['-1','9']
KBA05_HERST4	['-1','9']
KBA05_HERST5	['-1','9']
KBA05_HERSTTEMP	['-1','9']
KBA05_KRSAQUOT	['-1','9']
KBA05_KRSHERST1	['-1','9']
KBA05_KRSHERST2	['-1','9']
KBA05_KRSHERST3	['-1','9']
KBA05_KRSKLEIN	['-1','9']
KBA05_KRSOBER	['-1','9']
KBA05_KRSVAN	['-1','9']
KBA05_KRSZUL	['-1','9']
KBA05_KW1	['-1','9']
KBA05_KW2	['-1','9']
KBA05_KW3	['-1','9']
KBA05_MAXAH	['-1','9']
KBA05_MAXBJ	['-1','9']
KBA05_MAXHERST	['-1','9']
KBA05_MAXSEG	['-1','9']
KBA05_MAXVORB	['-1','9']
KBA05_MOD1	['-1','9']
KBA05_MOD2	['-1','9']
KBA05_MOD3	['-1','9']
KBA05_MOD4	['-1','9']
KBA05_MOD8	['-1','9']
KBA05_MODTEMP	['-1','9']
KBA05_MOTOR	['-1','9']
KBA05_MOTRAD	['-1','9']
KBA05_SEG1	['-1','9']
KBA05_SEG10	['-1','9']
KBA05_SEG2	['-1','9']
KBA05_SEG3	['-1','9']
KBA05_SEG4	['-1','9']
KBA05_SEG5	['-1','9']
KBA05_SEG6	['-1','9']
KBA05_SEG7	['-1','9']
KBA05_SEG8	['-1','9']
KBA05_SEG9	['-1','9']
KBA05_VORB0	['-1','9']
KBA05_VORB1	['-1','9']
KBA05_VORB2	['-1','9']
KBA05_ZUL1	['-1','9']
KBA05_ZUL2	['-1','9']
KBA05_ZUL3	['-1','9']
KBA05_ZUL4	['-1','9']
KBA13_ALTERHALTER_30	['-1']
KBA13_ALTERHALTER_45	['-1']
KBA13_ALTERHALTER_60	['-1']
KBA13_ALTERHALTER_61	['-1']
KBA13_AUDI	['-1']
KBA13_AUTOQUOTE	['-1']
KBA13_BJ_1999	['-1']
KBA13_BJ_2000	['-1']
KBA13_BJ_2004	['-1']
KBA13_BJ_2006	['-1']
KBA13_BJ_2008	['-1']
KBA13_BJ_2009	['-1']
KBA13_BMW	['-1']
KBA13_CCM_1000	['-1']
KBA13_CCM_1200	['-1']
KBA13_CCM_1400	['-1']
KBA13_CCM_0_1400	['-1']
